iso3,Country,year,hc,pop,gdp,xr,gdp_bn,gdp_pc
CHE,Switzerland,2000,3.52844762802124,7.184007,368548.875,1.6888425,368.548875,51301.29675541797
CHE,Switzerland,2001,3.53894829750061,7.226391,369422.8125,1.687615,369.4228125,51121.34293591366
CHE,Switzerland,2002,3.54948043823242,7.278752,366579.53125,1.5586075,366.57953125,50362.96486677936
CHE,Switzerland,2003,3.56004357337952,7.333447,362704.65625,1.34665083333333,362.70465625,49458.95923840453
CHE,Switzerland,2004,3.57063841819763,7.384194,370410.3125,1.24349583333333,370.4103125,50162.592220626924
CHE,Switzerland,2005,3.58126473426819,7.431823,385585.375,1.24517666666667,385.585375,51883.01376391768
CHE,Switzerland,2006,3.59192276000977,7.478509,417631.8125,1.25384333333333,417.6318125,55844.26153662448
CHE,Switzerland,2007,3.60261249542236,7.545381,458003.6875,1.20036583333333,458.0036875,60699.8755264976
CHE,Switzerland,2008,3.6133337020874,7.641728,479936.9375,1.08309,479.9369375,62804.76581998208
CHE,Switzerland,2009,3.62408709526062,7.737645,481338.8125,1.08814169630268,481.3388125,62207.40451390572
CHE,Switzerland,2010,3.63487243652344,7.825753,496048.96875,1.04290564573352,496.04896875,63386.739748877844
CHE,Switzerland,2011,3.64234471321106,7.914372,552769.125,0.888042028223281,552.769125,69843.7128050084
CHE,Switzerland,2012,3.64983224868774,7.998926,571063.3125,0.937684480709349,571.0633125,71392.49850542436
CHE,Switzerland,2013,3.65733528137207,8.091202,568455.5625,0.926903547758285,568.4555625,70256.00924312606
CHE,Switzerland,2014,3.66485381126404,8.190235,580136.0,0.916151047283613,580.136,70832.6439961735
CHE,Switzerland,2015,3.67238759994507,8.283934,605930.8125,0.962381328004354,605.9308125,73145.29696880734
CHE,Switzerland,2016,3.67993688583374,8.374901,620415.5,0.985394394244834,620.4155,74080.33838250746
CHE,Switzerland,2017,3.68750190734863,8.453628,640369.875,0.984691666666667,640.369875,75750.8935808389
CHE,Switzerland,2018,3.69508242607117,8.516344,651319.25,0.977891666666667,651.31925,76478.73899880043
CHE,Switzerland,2019,3.70267844200134,8.577524,681138.4375,0.993709166666667,681.1384375,79409.68017110766
